address,national_phone,lat,lon,rating,google_maps_uri,website,user_rating_count,name,primary_type_display,price_level
"Altayçeşme, Begonya Sk. no 27 A, 34843 Maltepe/İstanbul",(0216) 442 45 42,40.935804,29.130042000000003,4.5,https://maps.google.com/?cid=3917614438727879680,,353.0,MINTIKA Kebap & Pide & Lahmacun & Meze,Restoran,
"MCA AVM, Feyzullah, Bağdat Cad. No:286-290 Daire No:43, 34843 Maltepe/İstanbul",0539 290 50 33,40.9316268,29.127036,4.6,https://maps.google.com/?cid=8749500899101411672,,184.0,La Magica Restaurant,İtalyan Mutfağı,
"Altayçeşme, Yara Sokağı No: 1, 34843 Maltepe/İstanbul",444 8 464,40.9359691,29.1340086,4.5,https://maps.google.com/?cid=10397591048909849487,https://www.espressolab.com/,570.0,Espressolab Maltepe Freeland Plaza,Çay/Kahve,₺₺
"Zümrütevler, Mimozacı Sk. No:11, 34852 Maltepe/İstanbul",0506 974 38 20,40.9382255,29.1425998,4.6,https://maps.google.com/?cid=5844639117562538411,,145.0,Kedi Coffee & Cake,Çay/Kahve,
"Zümrütevler, Firuzan Sk. No:8, 34852 Maltepe/İstanbul",0532 626 49 28,40.9325902,29.1471205,4.7,https://maps.google.com/?cid=14112276196174811904,http://antephankunefe.com.tr/,1309.0,Antephan Künefe Maltepe,Tatlı,₺₺
"Aydınevler Mah. Sanayi Cd. Sancak Sk. No:1 D:C-2, Aydınevler, 34854 Maltepe/İstanbul",0551 900 82 82,40.944889,29.1294822,4.6,https://maps.google.com/?cid=3224835159883309724,,126.0,MidDay Fresh Food & Coffee,Restoran,
"Zümrütevler, Nil Cd., 34852 Maltepe/İstanbul",(0216) 305 15 61,40.9420827,29.144927,4.7,https://maps.google.com/?cid=2569339575491009614,http://www.peynircim.com.tr/,218.0,PEYNİRCİM (ZÜMRÜTEVLER),Şarküteri,
"Girne, Narlıdere Cd. 8/A, 34852 Maltepe/İstanbul",(0216) 367 74 27,40.9432079,29.142328,4.5,https://maps.google.com/?cid=11879613036215791440,,131.0,Fırın Altın Başak Unlu Mamülleri,Fırın,
"Zümrütevler, Hacı Bayram Veli Cd No:19E, 34852 Maltepe/İstanbul",0544 142 83 50,40.9447729,29.158301100000003,4.8,https://maps.google.com/?cid=6859861468955105691,https://www.filifu.com/,661.0,Filifu Cafe N' Play,Çay/Kahve,
"Zümrütevler, Hacı Bayram Veli Cd No:19/B, 34852 Maltepe/İstanbul",0506 641 34 88,40.9451182,29.158244000000003,4.6,https://maps.google.com/?cid=2839650286393587706,http://www.pizzeriacapitale.com.tr/,245.0,Pizzeria Capitale,Pizza,
"Yalı, Mareşal Fevzi Çakmak Cd. 67 B, 34844 Maltepe/İstanbul",(0216) 370 00 62,40.9134655,29.1407155,4.5,https://maps.google.com/?cid=15507711384664136685,,193.0,Gizem Dürüm Evi,Türk Mutfağı,₺₺
"Cevizli, Saraylar Cd. 31/A, 34865 Kartal/İstanbul",0507 833 01 34,40.912138,29.1622777,4.6,https://maps.google.com/?cid=4559803659841663910,,137.0,Tatlı Baba Dondurma,Tatlı,
"Cevizli, Saraylar Cd. No:89 D:B, 34865 Kartal/İstanbul",,40.9110495,29.1693992,4.5,https://maps.google.com/?cid=10299351227129516033,,110.0,Taşkın Ekmek Fırını,Fırın,
"Cevizli, Mustafa Kemal Cd. 66B, 34865 Kartal/İstanbul",0532 205 10 77,40.9115458,29.1805155,4.5,https://maps.google.com/?cid=4471485749436560871,http://www.akira.com.tr/,410.0,Akira Sushi Etc.,Uzak Doğu Mutfağı,
"Bağlarbaşı, Beşevler Sk. 15/A, 34854 Maltepe/İstanbul",0536 427 74 84,40.9248105,29.1327517,4.5,https://maps.google.com/?cid=13746854999368089589,,366.0,Kosor Maltepe Cağ Kebap,Restoran,₺₺
"Yalı, İmamali Sk. No: 9, 34844 Maltepe/İstanbul",(0216) 352 66 66,40.9217943,29.1294893,4.6,https://maps.google.com/?cid=11128441425479370012,,279.0,Farika Restaurant,Restoran,
"Cevizli, Zuhal Cd. 53/B, 34846 Maltepe/İstanbul",(0216) 399 21 02,40.9208633,29.1566185,4.5,https://maps.google.com/?cid=998470248476635989,,1153.0,Tuzda balık Restaurant,Deniz Mahsulleri,₺₺
"Cevizli, Fil Ykş. Sk. no:42, 34846 Maltepe/İstanbul",(0216) 442 60 72,40.922836,29.1575095,4.5,https://maps.google.com/?cid=13888079047599858752,http://www.safranlokum.com.tr/,658.0,Meşhur Safranbolu Lokumcusu,Tatlı,₺₺
